Rank,Candidate ID,Final Score,Confidence,Title,Company,Location,Career DNA,Capability,Trajectory,Recruitability,Authenticity,Notice Period (days),Open to Work,Response Rate Percentile,GitHub Score,Authenticity Flags,Disqualification Reason
25,CAND_0000024,0.281,Low,HR Manager,TCS,"Trivandrum, Kerala",Scale Expert,5,50,85,60,60,false,78,46.3,,Irrelevant title for AI Engineer role
26,CAND_0000005,0.279,Low,Accountant,Stark Industries,"Gurgaon, Haryana",Scale Expert,5,40,96,60,30,true,37,,,Irrelevant title for AI Engineer role
27,CAND_0000033,0.279,Low,Graphic Designer,Wipro,"Pune, Maharashtra",Scale Expert,5,40,96,60,30,true,8,38.3,,Irrelevant title for AI Engineer role
28,CAND_0000026,0.272,Low,Graphic Designer,Initech,"Kochi, Kerala",Scale Expert,5,50,78,60,30,false,59,,,Irrelevant title for AI Engineer role
29,CAND_0000036,0.271,Low,Project Manager,Initech,"Trivandrum, Kerala",Scale Expert,5,40,90,60,60,true,40,,,Irrelevant title for AI Engineer role
30,CAND_0000042,0.268,Low,HR Manager,Wayne Enterprises,Berlin,Scale Expert,5,50,75,60,30,false,58,,,Irrelevant title for AI Engineer role
31,CAND_0000002,0.267,Low,Operations Manager,Wipro,"Chennai, Tamil Nadu",Scale Expert,5,40,87,60,60,true,29,,,Irrelevant title for AI Engineer role
32,CAND_0000030,0.254,Low,Marketing Manager,Dunder Mifflin,"Kochi, Kerala",Scale Expert,5,40,77,60,60,false,66,21.7,,Irrelevant title for AI Engineer role
33,CAND_0000041,0.252,Low,Operations Manager,Hooli,"Delhi, Delhi",Scale Expert,5,40,75,60,90,true,7,,,Irrelevant title for AI Engineer role
34,CAND_0000029,0.242,Low,Business Analyst,Wipro,"Noida, Uttar Pradesh",Scale Expert,5,50,63,52,60,false,12,42.5,,Irrelevant title for AI Engineer role
35,CAND_0000021,0.241,Low,Project Manager,Wipro,"Bhubaneswar, Odisha",Scale Expert,5,40,67,60,60,false,49,6.4,,Irrelevant title for AI Engineer role
36,CAND_0000045,0.236,Low,Project Manager,Initech,"Indore, Madhya Pradesh",Scale Expert,5,40,91,32,60,true,62,,Incomplete profile: below 35% completeness threshold; Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
37,CAND_0000047,0.232,Low,Project Manager,TCS,"Kochi, Kerala",Scale Expert,5,40,60,60,90,false,39,,,Irrelevant title for AI Engineer role
38,CAND_0000008,0.231,Low,Operations Manager,Wipro,"Noida, Uttar Pradesh",Scale Expert,5,40,59,60,90,false,42,,,Irrelevant title for AI Engineer role
39,CAND_0000050,0.231,Low,Business Analyst,Infosys,"Gurgaon, Haryana",Scale Expert,5,40,67,52,90,false,42,44.7,,Irrelevant title for AI Engineer role
40,CAND_0000012,0.226,Low,Operations Manager,Stark Industries,"Chandigarh, Chandigarh",Scale Expert,5,40,55,60,60,false,16,,,Irrelevant title for AI Engineer role
41,CAND_0000028,0.225,Low,Operations Manager,Wipro,Dubai,Scale Expert,5,40,54,60,60,false,14,,,Irrelevant title for AI Engineer role
42,CAND_0000037,0.219,Low,Business Analyst,Stark Industries,Dubai,Scale Expert,5,40,78,32,30,false,78,,Incomplete profile: below 35% completeness threshold; Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
43,CAND_0000019,0.211,Low,Project Manager,Wayne Enterprises,"Trivandrum, Kerala",Scale Expert,5,50,59,32,60,false,34,,Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
44,CAND_0000039,0.209,Low,Marketing Manager,Acme Corp,"Bhubaneswar, Odisha",Scale Expert,5,40,70,32,30,false,52,,Incomplete profile: below 35% completeness threshold; Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
45,CAND_0000034,0.208,Low,Business Analyst,Wipro,"Ahmedabad, Gujarat",Scale Expert,5,40,49,52,90,false,15,,,Irrelevant title for AI Engineer role
46,CAND_0000040,0.193,Low,Customer Support,Globex Inc,"Kochi, Kerala",Scale Expert,5,40,58,32,90,false,46,,Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
47,CAND_0000017,0.186,Low,Accountant,Wipro,"Bangalore, Karnataka",Scale Expert,5,40,52,32,90,false,27,,Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
48,CAND_0000006,0.169,Low,Business Analyst,Wayne Enterprises,Austin,Scale Expert,5,50,27,32,150,false,12,,Incomplete profile: below 35% completeness threshold; Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
49,CAND_0000003,0.166,Low,Customer Support,TCS,Austin,Scale Expert,5,40,37,32,150,false,46,,Incomplete profile: below 35% completeness threshold; Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
50,CAND_0000004,0.158,Low,Marketing Manager,Dunder Mifflin,Sydney,Scale Expert,5,40,31,32,120,false,26,,Incomplete profile: below 35% completeness threshold; Unverified contact information; Skill endorsement pattern inconsistent with stated proficiency,Irrelevant title for AI Engineer role
